tf_gene_name	uniprot_id	uniprot_ac	gene_names	tf_superclass	tf_class	tf_family	tf_subfamily	tf_genus	tf_molecular_species	cisbp_families	cisbp_dbds
ATF1	ATF1_HUMAN	P18846	ATF1	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-like factors{1.1.7.1}	ATF-1{1.1.7.1.2}		bZIP	bZIP_1
ATF2	ATF2_HUMAN	P15336	ATF2:CREB2:CREBP1	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	Jun-related factors{1.1.1}	ATF-2-like factors{1.1.1.3}	ATF-2{1.1.1.3.1}	ATF-2, isoform 1{1.1.1.3.1.1}:ATF-2, isoform 2{1.1.1.3.1.2}:ATF-2, isoform 3{1.1.1.3.1.3}:ATF-2, isoform 4{1.1.1.3.1.4}:ATF-2, isoform 5{1.1.1.3.1.5}:ATF-2, isoform 6{1.1.1.3.1.6}:ATF-2, isoform 7{1.1.1.3.1.7}:ATF-2, isoform 8 (ATF2-small){1.1.1.3.1.8}	bZIP	bZIP_1
ATF3	ATF3_HUMAN	P18847	ATF3	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	Fos-related factors{1.1.2}	ATF-3-like factors{1.1.2.2}	ATF-3{1.1.2.2.1}	ATF-3, isoform 1{1.1.2.2.1.1}:ATF-3DelZIP, isoform 2{1.1.2.2.1.2}:ATF-3DelZIP2a / ATF-3DelZIP2b, isoform 3{1.1.2.2.1.3}:ATF-3DelZIP2c, isoform 4{1.1.2.2.1.4}:ATF-3, isoform 5{1.1.2.2.1.5}	bZIP	bZIP_1
ATF4	ATF4_HUMAN	P18848	ATF4:CREB2:TXREB	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	ATF-4-related factors{1.1.6}	ATF-4{1.1.6.0.1}	ATF-4{1.1.6.0.1}		bZIP	bZIP_1
ATF6	ATF6A_HUMAN	P18850	ATF6	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	ATF-6 factors{1.1.7.3}	ATF-6alpha{1.1.7.3.1}		bZIP	bZIP_1
ATF6B	ATF6B_HUMAN	Q99941	ATF6B:CREBL1:G13	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	ATF-6 factors{1.1.7.3}	ATF-6beta{1.1.7.3.2}	ATF-6beta, isoform 1{1.1.7.3.2.1}:ATF-6beta, isoform 2{1.1.7.3.2.2}	bZIP	bZIP_1
ATF7	ATF7_HUMAN	P17544	ATF7:ATFA	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	Jun-related factors{1.1.1}	ATF-2-like factors{1.1.1.3}	ATF-7{1.1.1.3.2}	ATF-A, isoform 1{1.1.1.3.2.1}:ATF-Adelta, isoform 2{1.1.1.3.2.2}:ATF-A1, isoform 3{1.1.1.3.2.3}:ATF-7A0, isoform 4{1.1.1.3.2.4}:ATF-7 (ATF-4), isoform 5{1.1.1.3.2.5}:ATF-7, isoform 6{1.1.1.3.2.6}	bZIP	C2H2 ZF	bZIP_1	zf-C2H2
ATOH1	ATOH1_HUMAN	Q92858	ATOH1:ATH1:BHLHA14	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	ATH-1 (ATOH-1){1.2.3.4.8}		bHLH	HLH
ATOH7	ATOH7_HUMAN	Q8N100	ATOH7:ATH5:BHLHA13	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	ATH-5 (ATOH-7){1.2.3.4.9}		bHLH	HLH
Ahctf1	ELYS_MOUSE	Q8CJF7	Ahctf1:Elys								
Alx3	ALX3_MOUSE	O70137	Alx3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ALX{3.1.3.1}	ALX-3{3.1.3.1.2}		Homeodomain	Homeobox
Alx4	ALX4_MOUSE	O35137	Alx4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ALX{3.1.3.1}	ALX-4{3.1.3.1.3}		Homeodomain	Homeobox
Ar	ANDR_MOUSE	P19091	Ar:Nr3c4	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	Steroid hormone receptors (NR3){2.1.1}	GR-like receptors (NR3C){2.1.1.1}	Androgen receptor (AR) (NR3C4){2.1.1.1.4}		Nuclear receptor	zf-C4
Arid3a	ARI3A_MOUSE	Q62431	Arid3a:Dri1:Dril1	Helix-turn-helix domains{3}	ARID domain factors{3.7}	ARID-related factors{3.7.1}	ARID3{3.7.1.3}	ARID3A (Bright, DRIL1, DRIL3, DRX, E2FBP1){3.7.1.3.1}			
Arid5a	ARI5A_MOUSE	Q3U108	Arid5a	Helix-turn-helix domains{3}	ARID domain factors{3.7}	ARID-related factors{3.7.1}	ARID5{3.7.1.5}	ARID5A (MRF1){3.7.1.5.1}	ARID5A, isoform 1{3.7.1.5.1.1}:ARID5A, isoform 2{3.7.1.5.1.2}:ARID5A, isoform 3{3.7.1.5.1.3}:ARID5A, isoform 4{3.7.1.5.1.4}:ARID5A, isoform 5{3.7.1.5.1.5}		
Arx	ARX_MOUSE	O35085	Arx	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	ARX{3.1.3.3}	ARX{3.1.3.3.1}		Homeodomain	Homeobox
Ascl2	ASCL2_MOUSE	O35885	Ascl2:Mash2	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	MyoD / ASC-related factors{1.2.2}	Achaete-Scute-like factors{1.2.2.2}	ASH-2 (ASCL2){1.2.2.2.2}		bHLH	HLH
Atf1	ATF1_MOUSE	P81269	Atf1	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	CREB-related factors{1.1.7}	CREB-like factors{1.1.7.1}	ATF-1{1.1.7.1.2}		bZIP	bZIP_1
Atf3	ATF3_MOUSE	Q60765	Atf3	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	Fos-related factors{1.1.2}	ATF-3-like factors{1.1.2.2}	ATF-3{1.1.2.2.1}	ATF-3, isoform 1{1.1.2.2.1.1}:ATF-3, isoform 2 (ATF-3b){1.1.2.2.1.2}	bZIP	bZIP_1
BACH2	BACH2_HUMAN	Q9BYV9	BACH2	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	Jun-related factors{1.1.1}	NF-E2-like factors{1.1.1.2}	BACH2{1.1.1.2.6}		bZIP	bZIP_1
BAHD1	BAHD1_HUMAN	Q8TBE0	BAHD1:KIAA0945								
BARHL1	BARH1_HUMAN	Q9BZE3	BARHL1:FKSG31	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARHL{3.1.2.1}	BarH-L1{3.1.2.1.1}		Homeodomain	Homeobox
BARHL2	BARH2_HUMAN	Q9NY43	BARHL2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARHL{3.1.2.1}	BarH-L2{3.1.2.1.2}		Homeodomain	Homeobox
BARX1	BARX1_HUMAN	Q9HBU1	BARX1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARX{3.1.2.2}	BARX-1{3.1.2.2.1}	BARX-1, isoform 1{3.1.2.2.1.1}:BARX-1, isoform 2{3.1.2.2.1.2}	Homeodomain	Homeobox
BARX2	BARX2_HUMAN	Q9UMQ3	BARX2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARX{3.1.2.2}	BARX-2{3.1.2.2.2}		Homeodomain	Homeobox
BATF	BATF_HUMAN	Q16520	BATF	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	B-ATF-related factors{1.1.4}	B-ATF{1.1.4.0.1}	B-ATF{1.1.4.0.1}		bZIP	bZIP_1
BATF3	BATF3_HUMAN	Q9NR55	BATF3:SNFT	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	B-ATF-related factors{1.1.4}	B-ATF-3{1.1.4.0.3}	B-ATF-3{1.1.4.0.3}		bZIP	bZIP_1
BBX	BBX_HUMAN	Q8WY36	BBX:HBP2	Other all-alpha-helical DNA-binding domains{4}	High-mobility group (HMG) domain factors{4.1}	SOX-related factors{4.1.1}	Further Sox-related factors{4.1.1.9}	BBX (HBP-2) [1]{4.1.1.9.3}	BBX, isoform 1{4.1.1.9.3.1}:BBX, isoform 2{4.1.1.9.3.2}:BBX, isoform 3{4.1.1.9.3.3}	Sox	HMG_box
BCL11A	BC11A_HUMAN	Q9H165	BCL11A:CTIP1:EVI9:KIAA1809:ZNF856	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	BCL11{2.3.4.15}	BCL11A (CTIP1, EVI9, ZNF856) [1+2+3]{2.3.4.15.1}	BCL11A, isoform 1 (BCL11A-XL){2.3.4.15.1.1}:BCL11A, isoform 2 (BCL11A-L) [1+2]{2.3.4.15.1.2}:BCL11A, isoform 3 (BCL11A-S) [1]{2.3.4.15.1.3}:BCL11A, isoform 4 [1+2]{2.3.4.15.1.4}:BCL11A, isoform 5 [1]{2.3.4.15.1.5}:BCL11A, isoform 6{2.3.4.15.1.6}	C2H2 ZF	zf-C2H2
BCL11B	BC11B_HUMAN	Q9C0K0	BCL11B:CTIP2:RIT1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	BCL11{2.3.4.15}	BCL11B (CTIP2, RIT1) [1+2+3]{2.3.4.15.2}	BCL11B, isoform 1{2.3.4.15.2.1}:BCL11B, isoform 2{2.3.4.15.2.2}	C2H2 ZF	zf-C2H2
BCL3	BCL3_HUMAN	P20749	BCL3:BCL4:D19S37	Immunoglobulin fold{6}	Rel homology region (RHR) factors{6.1}	Ankyrin domain-only factors{6.1.2}	IkappaB-related factors{6.1.2.1}	BCL-3{6.1.2.1.8}			
BCL6	BCL6_HUMAN	P41182	BCL6:BCL5:LAZ3:ZBTB27:ZNF51	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	BCL6 factors{2.3.3.22}	BCL6 (LAZ3, ZBTB27, ZNF51) [6]{2.3.3.22.2}	BCL6, isoform 1{2.3.3.22.2.1}:BCL6, isoform 2{2.3.3.22.2.2}	C2H2 ZF	zf-C2H2
BCL6B	BCL6B_HUMAN	Q8N143	BCL6B:BAZF:ZNF62	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	BCL6 factors{2.3.3.22}	BCL6B (BAZF, ZNF62) [5]{2.3.3.22.1}		C2H2 ZF	zf-C2H2
BCLAF1	BCLF1_HUMAN	Q9NYF8	BCLAF1:BTF:KIAA0164								
BCOR	BCOR_HUMAN	Q6W2J9	BCOR:KIAA1575								
BHLHA15	BHA15_HUMAN	Q7RTS1	BHLHA15:BHLHB8:MIST1	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	MIST1 (bHLHa15){1.2.3.4.16}		bHLH	HLH
BHLHB2	BHE40_HUMAN	O14503	BHLHE40:BHLHB2:DEC1:SHARP2:STRA13	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	DEC1 (STRA-13, bHLHb2){1.2.4.1.12}		bHLH	HLH
BHLHB3	BHE41_HUMAN	Q9C0J9	BHLHE41:BHLHB3:DEC2:SHARP1	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	DEC2 (bHLHb3, bHLHe41){1.2.4.1.13}		bHLH	HLH
BHLHE22	BHE22_HUMAN	Q8NFJ8	BHLHE22:BHLHB5:TNRC20	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	bHLHe22 (Beta3){1.2.3.4.11}		bHLH	HLH
BHLHE23	BHE23_HUMAN	Q8NDY6	BHLHE23:BHLHB4	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	bHLHe23{1.2.3.4.12}		bHLH	HLH
BHLHE40	BHE40_HUMAN	O14503	BHLHE40:BHLHB2:DEC1:SHARP2:STRA13	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	DEC1 (STRA-13, bHLHb2){1.2.4.1.12}		bHLH	HLH
BHLHE41	BHE41_HUMAN	Q9C0J9	BHLHE41:BHLHB3:DEC2:SHARP1	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	DEC2 (bHLHb3, bHLHe41){1.2.4.1.13}		bHLH	HLH
BMI1	BMI1_HUMAN	P35226	BMI1:PCGF4:RNF51								
BMPR1A	BMR1A_HUMAN	P36894	BMPR1A:ACVRLK3:ALK3								
BPTF	BPTF_HUMAN	Q12830	BPTF:FAC1:FALZ								
BRCA1	BRCA1_HUMAN	P38398	BRCA1:RNF53								
BRD1	BRD1_HUMAN	O95696	BRD1:BRL:BRPF2								
BRD2	BRD2_HUMAN	P25440	BRD2:KIAA9001:RING3								
BRD3	BRD3_HUMAN	Q15059	BRD3:KIAA0043:RING3L								
BRD4	BRD4_HUMAN	O60885	BRD4:HUNK1								
BSX	BSH_HUMAN	Q3C1V8	BSX:BSX1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BSX{3.1.2.3}	BSX-1 (BSX){3.1.2.3.1}		Homeodomain	Homeobox
Bapx1	NKX32_MOUSE	P97503	Nkx3-2:Bapx1:Nkx-3.2:Nkx3b	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	NK-3{3.1.2.16}	NKX-3.2 (NKX3-2, NKX3B){3.1.2.16.2}			
Barhl1	BARH1_MOUSE	P63157	Barhl1:Bhx1:Mbh2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARHL{3.1.2.1}	BarH-L1{3.1.2.1.1}		Homeodomain	Homeobox
Barhl2	BARH2_MOUSE	Q8VIB5	Barhl2:Barh1:Mbh1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARHL{3.1.2.1}	BarH-L2{3.1.2.1.2}		Homeodomain	Homeobox
Barx1	BARX1_MOUSE	Q9ER42	Barx1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARX{3.1.2.2}	BARX-1{3.1.2.2.1}		Homeodomain	Homeobox
Barx2	BARX2_MOUSE	O08686	Barx2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BARX{3.1.2.2}	BARX-2{3.1.2.2.2}		Homeodomain	Homeobox
Bbx	BBX_MOUSE	Q8VBW5	Bbx:Hbp2	Other all-alpha-helical DNA-binding domains{4}	High-mobility group (HMG) domain factors{4.1}	SOX-related factors{4.1.1}	Further Sox-related factors{4.1.1.9}	BBX (HBP-2) [1]{4.1.1.9.3}	BBX, isoform 1{4.1.1.9.3.1}:BBX, isoform 2{4.1.1.9.3.2}:BBX, isoform 3{4.1.1.9.3.3}:BBX, isoform 4{4.1.1.9.3.4}	Sox	HMG_box
Bcl6b	BCL6B_MOUSE	O88282	Bcl6b:Bazf	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	BCL6 factors{2.3.3.22}	BCL6B (BAZF, ZNF62) [5]{2.3.3.22.1}		C2H2 ZF	zf-C2H2
Bhlhb2	BHE40_MOUSE	O35185	Bhlhe40:Bhlhb2:Clast5:Dec1:Stra13	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Hairy-related factors{1.2.4}	Hairy-like factors{1.2.4.1}	DEC1 (STRA-13, bHLHb2){1.2.4.1.12}			
Bsx	BSH_MOUSE	Q810B3	Bsx	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	BSX{3.1.2.3}	BSX-1 (BSX){3.1.2.3.1}	BSX-1, isoform 1 (Bsxla){3.1.2.3.1.1}:BSX-1, isoform 2 (Bsxlb){3.1.2.3.1.2}	Homeodomain	Homeobox
CBFA2T2	MTG8R_HUMAN	O43439	CBFA2T2:EHT:MTGR1								
CBFB	PEBB_HUMAN	Q13951	CBFB								
CBX1	CBX1_HUMAN	P83916	CBX1:CBX								
CBX2	CBX2_HUMAN	Q14781	CBX2								
CBX3	CBX3_HUMAN	Q13185	CBX3								
CCNT2	CCNT2_HUMAN	O60583	CCNT2								
CDC5L	CDC5L_HUMAN	Q99459	CDC5L:KIAA0432:PCDC5RP	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Myb/SANT domain factors{3.5.1}	Myb-like factors{3.5.1.1}	CDC5L{3.5.1.1.4}			
CDK6	CDK6_HUMAN	Q00534	CDK6:CDKN6								
CDK7	CDK7_HUMAN	P50613	CDK7:CAK:CAK1:CDKN7:MO15:STK1								
CDK8	CDK8_HUMAN	P49336	CDK8								
CDK9	CDK9_HUMAN	P50750	CDK9:CDC2L4:TAK								
CDX1	CDX1_HUMAN	P47902	CDX1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	CDX (Caudal type homeobox){3.1.1.9}	CDX-1{3.1.1.9.1}	CDX-1, isoform 1{3.1.1.9.1.1}:CDX-1, isoform 2{3.1.1.9.1.2}	Homeodomain	Homeobox
CDX2	CDX2_HUMAN	Q99626	CDX2:CDX3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	CDX (Caudal type homeobox){3.1.1.9}	CDX-2 (CDX-3){3.1.1.9.2}		Homeodomain	Homeobox
CDX4	CDX4_HUMAN	O14627	CDX4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	CDX (Caudal type homeobox){3.1.1.9}	CDX-4{3.1.1.9.3}		Homeodomain	Homeobox
CEBPA	CEBPA_HUMAN	P49715	CEBPA:CEBP	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	C/EBP{1.1.8.1}	C/EBPalpha{1.1.8.1.1}		bZIP	bZIP_1
CEBPB	CEBPB_HUMAN	P17676	CEBPB:TCF5:PP9092	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	C/EBP{1.1.8.1}	C/EBPbeta (NF-IL6-1){1.1.8.1.2}	C/EBPbeta, isoform 1 (C/EBPbeta-FL){1.1.8.1.2.1}:C/EBPbeta, isoform 2 (C/EBPbeta-LAP){1.1.8.1.2.2}:C/EBPbeta, isoform 3 (C/EBPbeta-LIP){1.1.8.1.2.3}	bZIP	bZIP_1
CEBPD	CEBPD_HUMAN	P49716	CEBPD	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	C/EBP{1.1.8.1}	C/EBPdelta{1.1.8.1.4}		bZIP	bZIP_1
CEBPE	CEBPE_HUMAN	Q15744	CEBPE	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	C/EBP{1.1.8.1}	C/EBPepsilon{1.1.8.1.5}		bZIP	bZIP_1
CEBPG	CEBPG_HUMAN	P53567	CEBPG	Basic domains{1}	Basic leucine zipper factors (bZIP){1.1}	C/EBP-related{1.1.8}	C/EBP{1.1.8.1}	C/EBPgamma{1.1.8.1.3}		bZIP	bZIP_1
CEBPZ	CEBPZ_HUMAN	Q03701	CEBPZ:CBF2								
CENPB	CENPB_HUMAN	P07199	CENPB							CENPB	CENP-B_N
CENPBD1	CENP1_HUMAN	B2RD01	CENPBD1							CENPB	CENP-B_N
CHD1	CHD1_HUMAN	O14646	CHD1								
CHD2	CHD2_HUMAN	O14647	CHD2								
CHD7	CHD7_HUMAN	Q9P2D1	CHD7:KIAA1416								
CHD8	CHD8_HUMAN	Q9HCK8	CHD8:HELSNF1:KIAA1564								
